ID :  66, Time :  93, Before : 17, After : 16
ID :  94, Time :  99, Before : 13, After :  2
ID :  66, Time : 101, Before : 16, After : 17
ID :  45, Time : 102, Before : 15, After : 10
ID :  12, Time : 103, Before :  1, After : 11
ID :  15, Time : 104, Before : 17, After : 11
ID :  63, Time : 107, Before : 11, After : 17
ID :  12, Time : 108, Before : 11, After :  1
ID :  11, Time : 108, Before :  5, After :  9
ID :  15, Time : 108, Before : 11, After : 17
ID :  77, Time : 109, Before :  6, After :  1
ID :  67, Time : 109, Before : 13, After : 19
ID :  47, Time : 109, Before : 13, After :  9
ID :   9, Time : 109, Before : 15, After :  8
ID :   4, Time : 110, Before :  2, After : 12
ID :   5, Time : 110, Before :  3, After : 13
ID :  31, Time : 111, Before : 15, After : 18
ID :  90, Time : 112, Before :  3, After : 19
ID :  21, Time : 112, Before : 12, After :  8
ID :  30, Time : 113, Before :  4, After :  1
ID :  74, Time : 113, Before : 15, After : 10
ID :  80, Time : 114, Before :  3, After : 17
ID :  33, Time : 115, Before : 17, After : 14
ID :   3, Time : 116, Before :  6, After :  1
ID :  76, Time : 116, Before : 15, After : 10
ID :  39, Time : 117, Before :  6, After : 13
ID :  38, Time : 118, Before :  2, After : 12
ID :  66, Time : 120, Before : 17, After : 16
ID :  88, Time : 121, Before :  9, After :  4
ID :  25, Time : 122, Before :  3, After : 17
ID :  57, Time : 123, Before :  1, After :  2
ID :  30, Time : 123, Before :  1, After :  7
ID :  36, Time : 125, Before :  1, After :  2
ID :  77, Time : 125, Before :  1, After :  9
ID :   4, Time : 125, Before : 12, After :  2
ID :  52, Time : 125, Before : 13, After :  2
ID :  71, Time : 126, Before :  8, After : 15
ID :  38, Time : 126, Before : 12, After :  2
ID :  80, Time : 126, Before : 17, After :  3
ID :  42, Time : 127, Before :  1, After :  2
ID :   3, Time : 127, Before :  1, After :  2
ID :  22, Time : 127, Before :  8, After : 15
ID :  76, Time : 127, Before : 10, After : 15
ID :  12, Time : 128, Before :  1, After : 11
ID :   9, Time : 128, Before :  8, After : 15
ID :  30, Time : 129, Before :  7, After :  4
ID :  27, Time : 129, Before : 13, After :  2
ID :  14, Time : 130, Before :  1, After : 11
ID :  77, Time : 130, Before :  9, After :  4
ID :   2, Time : 130, Before :  7, After :  8
ID :  24, Time : 131, Before :  6, After : 13
ID :  74, Time : 131, Before : 10, After : 12
ID :  58, Time : 133, Before : 12, After :  2
ID :  43, Time : 134, Before :  6, After : 13
ID :   7, Time : 134, Before :  3, After : 13
ID :  47, Time : 135, Before :  9, After : 13
ID :  88, Time : 135, Before :  4, After :  5
ID :  74, Time : 137, Before : 12, After : 10
ID :  66, Time : 137, Before : 16, After : 17
ID :  12, Time : 138, Before : 11, After : 10
